,author,title,year
0,Алексей Адов,Оптимальный речевой кодек для VoIP в децентрализованных беспроводных сетях на основе WiFi ,2010
1,Кирилл Андреев,Оптимальный речевой кодек для VoIP в децентрализованных беспроводных сетях на основе WiFi ,2010
2,Павел Бойко,Оптимальный речевой кодек для VoIP в децентрализованных беспроводных сетях на основе WiFi ,2010
3,Александр Панчин,Зависимость мутационных процессов в геноме человека от контекста   ,2010
4,Сергей Митрофанов,Зависимость мутационных процессов в геноме человека от контекста   ,2010
5,Андрей Алексеевский,Зависимость мутационных процессов в геноме человека от контекста   ,2010
6,Сергей Спирин,Зависимость мутационных процессов в геноме человека от контекста   ,2010
7,Юрий Панчин,Зависимость мутационных процессов в геноме человека от контекста   ,2010
8,А.Н. Алфимцев,Алгоритм захвата и отслеживания объекта на цифровых изображениях с упрощенной процедурой обучения  ,2010
9,И.И. Лычков,Алгоритм захвата и отслеживания объекта на цифровых изображениях с упрощенной процедурой обучения  ,2010
10,Кирилл Андреев,Влияние случайной компоненты затухания радиосигнала на работоспособность беспроводных mesh сетей под управлением OLSR  ,2010
11,Павел Бойко,Влияние случайной компоненты затухания радиосигнала на работоспособность беспроводных mesh сетей под управлением OLSR  ,2010
12,Денис Фахриев,Влияние случайной компоненты затухания радиосигнала на работоспособность беспроводных mesh сетей под управлением OLSR  ,2010
13,Кирилл Андреев,Масштабируемость модели физического уровня WiFi в NS-3,2010
14,Павел Бойко,Масштабируемость модели физического уровня WiFi в NS-3,2010
15,Алексей Адов,Оптимальный речевой кодек для VoIP в децентрализованных беспроводных сетях на основе WiFi ,2010
16,Кирилл Андреев,Оптимальный речевой кодек для VoIP в децентрализованных беспроводных сетях на основе WiFi ,2010
17,Павел Бойко,Оптимальный речевой кодек для VoIP в децентрализованных беспроводных сетях на основе WiFi ,2010
18,Кирилл Андреев,Имитационное моделирование в реальном времени и эмуляция беспроводных сетей ,2010
19,Павел Бойко,Имитационное моделирование в реальном времени и эмуляция беспроводных сетей ,2010
20,Андрей Мазо,Имитационное моделирование в реальном времени и эмуляция беспроводных сетей ,2010
21,Дмитрий Михин,Имитационное моделирование в реальном времени и эмуляция беспроводных сетей ,2010
22,Александра Ахмадуллина,"Эволюция сайтов митохондриального генома, ассоциированных с болезнями человека. ",2010
23,К.В. Бадмаева,Адаптация специализированного хранилища данных  ,2010
24,Nadegda Terekhanova,Parallel evolutionary trajectories at sites of multiple amino acid replacements in Drosophila   ,2010
25,Georgii A. Bazykin,Parallel evolutionary trajectories at sites of multiple amino acid replacements in Drosophila   ,2010
26,G.A. Bazykin,Detecting past positive selection through ongoing negative selection   ,2010
27,Alexey S. Kondrashov,Detecting past positive selection through ongoing negative selection   ,2010
28,S. Naumenko,Frequency of reversals in evolution of vertebrates and insects decreases on increased phylogenetic distance between substitutions  ,2010
29,A. Kondrashov,Frequency of reversals in evolution of vertebrates and insects decreases on increased phylogenetic distance between substitutions  ,2010
30,G. Bazykin,Frequency of reversals in evolution of vertebrates and insects decreases on increased phylogenetic distance between substitutions  ,2010
31,Лёушкин Е.В.,"Эволюция кодирующей последовательностей ДНК в участках
инсерций и делеций  ",2010
32,Кондрашов А.С.,"Эволюция кодирующей последовательностей ДНК в участках
инсерций и делеций  ",2010
33,Базыкин Г.А.,"Эволюция кодирующей последовательностей ДНК в участках
инсерций и делеций  ",2010
34,Olga A. Vakhrusheva, Edge of the Expanding Protein Universe: Exploration of Sequence Space by Very Remote Homologs ,2010
35,Sergey Naumenko, Edge of the Expanding Protein Universe: Exploration of Sequence Space by Very Remote Homologs ,2010
36,Georgii A. Bazykin, Edge of the Expanding Protein Universe: Exploration of Sequence Space by Very Remote Homologs ,2010
37,А. В. Балабанов,Разработка пула свободных производственных мощностей предприятий виртуальной корпорации ,2010
38,Мария Баранова,Существует ли генетическая компонента вымирания?  ,2010
39,Константин Попадьин,Существует ли генетическая компонента вымирания?  ,2010
40,Павел Безматерных,Генеративное распознавание штрихкодов с применением аппарата быстрых обобщенных преобразований Хафа ,2010
41,Сергей Гладилин,Генеративное распознавание штрихкодов с применением аппарата быстрых обобщенных преобразований Хафа ,2010
42,Дмитрий Николаев,Генеративное распознавание штрихкодов с применением аппарата быстрых обобщенных преобразований Хафа ,2010
43,E.V. Burnaev,"Estimation of effective dimension reduction space for function
approximation ",2010
44,M.G. Belyaev,"Estimation of effective dimension reduction space for function
approximation ",2010
45,P.V. Prihodko,"Estimation of effective dimension reduction space for function
approximation ",2010
46,Юлия Бибило,Изомонодромные деформации систем с иррегулярными особыми точками ,2010
47,Бучацкая Елена,Сравнение современных симуляторов WiFi сетей  ,2010
48,Павел Бойко,Сравнение современных симуляторов WiFi сетей  ,2010
49,М.Э. Борисова,Регуляция SOS-ответа Протеобактерий: сравнительно-геномный анализ фактора транскрипции LexA и сайтов его связывания   ,2010
