,author,title,year,Name,Surname
0,Алексей Адов,Оптимальный речевой кодек для VoIP в децентрализованных беспроводных сетях на основе WiFi ,2010,Алексей,Адов
1,Кирилл Андреев,Оптимальный речевой кодек для VoIP в децентрализованных беспроводных сетях на основе WiFi ,2010,Кирилл,Андреев
2,Павел Бойко,Оптимальный речевой кодек для VoIP в децентрализованных беспроводных сетях на основе WiFi ,2010,Павел,Бойко
3,Александр Панчин,Зависимость мутационных процессов в геноме человека от контекста   ,2010,Александр,Панчин
4,Сергей Митрофанов,Зависимость мутационных процессов в геноме человека от контекста   ,2010,Сергей,Митрофанов
5,Андрей Алексеевский,Зависимость мутационных процессов в геноме человека от контекста   ,2010,Андрей,Алексеевский
6,Сергей Спирин,Зависимость мутационных процессов в геноме человека от контекста   ,2010,Сергей,Спирин
7,Юрий Панчин,Зависимость мутационных процессов в геноме человека от контекста   ,2010,Юрий,Панчин
8,А.Н. Алфимцев,Алгоритм захвата и отслеживания объекта на цифровых изображениях с упрощенной процедурой обучения  ,2010,А.Н.,Алфимцев
9,И.И. Лычков,Алгоритм захвата и отслеживания объекта на цифровых изображениях с упрощенной процедурой обучения  ,2010,И.И.,Лычков
10,Кирилл Андреев,Влияние случайной компоненты затухания радиосигнала на работоспособность беспроводных mesh сетей под управлением OLSR  ,2010,Кирилл,Андреев
11,Павел Бойко,Влияние случайной компоненты затухания радиосигнала на работоспособность беспроводных mesh сетей под управлением OLSR  ,2010,Павел,Бойко
12,Денис Фахриев,Влияние случайной компоненты затухания радиосигнала на работоспособность беспроводных mesh сетей под управлением OLSR  ,2010,Денис,Фахриев
13,Кирилл Андреев,Масштабируемость модели физического уровня WiFi в NS-3,2010,Кирилл,Андреев
14,Павел Бойко,Масштабируемость модели физического уровня WiFi в NS-3,2010,Павел,Бойко
15,Алексей Адов,Оптимальный речевой кодек для VoIP в децентрализованных беспроводных сетях на основе WiFi ,2010,Алексей,Адов
16,Кирилл Андреев,Оптимальный речевой кодек для VoIP в децентрализованных беспроводных сетях на основе WiFi ,2010,Кирилл,Андреев
17,Павел Бойко,Оптимальный речевой кодек для VoIP в децентрализованных беспроводных сетях на основе WiFi ,2010,Павел,Бойко
18,Кирилл Андреев,Имитационное моделирование в реальном времени и эмуляция беспроводных сетей ,2010,Кирилл,Андреев
19,Павел Бойко,Имитационное моделирование в реальном времени и эмуляция беспроводных сетей ,2010,Павел,Бойко
20,Андрей Мазо,Имитационное моделирование в реальном времени и эмуляция беспроводных сетей ,2010,Андрей,Мазо
21,Дмитрий Михин,Имитационное моделирование в реальном времени и эмуляция беспроводных сетей ,2010,Дмитрий,Михин
22,Александра Ахмадуллина,"Эволюция сайтов митохондриального генома, ассоциированных с болезнями человека. ",2010,Александра,Ахмадуллина
23,К.В. Бадмаева,Адаптация специализированного хранилища данных  ,2010,К.В.,Бадмаева
24,Nadegda Terekhanova,Parallel evolutionary trajectories at sites of multiple amino acid replacements in Drosophila   ,2010,Nadegda,Terekhanova
25,Georgii A. Bazykin,Parallel evolutionary trajectories at sites of multiple amino acid replacements in Drosophila   ,2010,Georgii A. Bazykin,Georgii A. Bazykin
26,G.A. Bazykin,Detecting past positive selection through ongoing negative selection   ,2010,G.A.,Bazykin
27,Alexey S. Kondrashov,Detecting past positive selection through ongoing negative selection   ,2010,Alexey S. Kondrashov,Alexey S. Kondrashov
28,S. Naumenko,Frequency of reversals in evolution of vertebrates and insects decreases on increased phylogenetic distance between substitutions  ,2010,S.,Naumenko
29,A. Kondrashov,Frequency of reversals in evolution of vertebrates and insects decreases on increased phylogenetic distance between substitutions  ,2010,A.,Kondrashov
30,G. Bazykin,Frequency of reversals in evolution of vertebrates and insects decreases on increased phylogenetic distance between substitutions  ,2010,G.,Bazykin
31,Лёушкин Е.В.,"Эволюция кодирующей последовательностей ДНК в участках
инсерций и делеций  ",2010,Е.В.,Лёушкин
32,Кондрашов А.С.,"Эволюция кодирующей последовательностей ДНК в участках
инсерций и делеций  ",2010,А.С.,Кондрашов
33,Базыкин Г.А.,"Эволюция кодирующей последовательностей ДНК в участках
инсерций и делеций  ",2010,Г.А.,Базыкин
34,Olga A. Vakhrusheva, Edge of the Expanding Protein Universe: Exploration of Sequence Space by Very Remote Homologs ,2010,Olga A. Vakhrusheva,Olga A. Vakhrusheva
35,Sergey Naumenko, Edge of the Expanding Protein Universe: Exploration of Sequence Space by Very Remote Homologs ,2010,Sergey,Naumenko
36,Georgii A. Bazykin, Edge of the Expanding Protein Universe: Exploration of Sequence Space by Very Remote Homologs ,2010,Georgii A. Bazykin,Georgii A. Bazykin
37,А. В. Балабанов,Разработка пула свободных производственных мощностей предприятий виртуальной корпорации ,2010,А. В. Балабанов,А. В. Балабанов
38,Мария Баранова,Существует ли генетическая компонента вымирания?  ,2010,Мария,Баранова
39,Константин Попадьин,Существует ли генетическая компонента вымирания?  ,2010,Константин,Попадьин
40,Павел Безматерных,Генеративное распознавание штрихкодов с применением аппарата быстрых обобщенных преобразований Хафа ,2010,Павел,Безматерных
41,Сергей Гладилин,Генеративное распознавание штрихкодов с применением аппарата быстрых обобщенных преобразований Хафа ,2010,Сергей,Гладилин
42,Дмитрий Николаев,Генеративное распознавание штрихкодов с применением аппарата быстрых обобщенных преобразований Хафа ,2010,Дмитрий,Николаев
43,E.V. Burnaev,"Estimation of effective dimension reduction space for function
approximation ",2010,E.V.,Burnaev
44,M.G. Belyaev,"Estimation of effective dimension reduction space for function
approximation ",2010,M.G.,Belyaev
45,P.V. Prihodko,"Estimation of effective dimension reduction space for function
approximation ",2010,P.V.,Prihodko
46,Юлия Бибило,Изомонодромные деформации систем с иррегулярными особыми точками ,2010,Юлия,Бибило
47,Бучацкая Елена,Сравнение современных симуляторов WiFi сетей  ,2010,Бучацкая,Елена
48,Павел Бойко,Сравнение современных симуляторов WiFi сетей  ,2010,Павел,Бойко
49,М.Э. Борисова,Регуляция SOS-ответа Протеобактерий: сравнительно-геномный анализ фактора транскрипции LexA и сайтов его связывания   ,2010,М.Э.,Борисова
50,Александр Дерендяев,Интеграция сетевой ГИС в распределенную информационно-аналитическую среду ,2010,Александр,Дерендяев
51,Валерий Гитис,Интеграция сетевой ГИС в распределенную информационно-аналитическую среду ,2010,Валерий,Гитис
52,Аркадий Вайншток,Интеграция сетевой ГИС в распределенную информационно-аналитическую среду ,2010,Аркадий,Вайншток
53,Шестаков Л.С.,"Стратегии поиска полового партнера у разных видов саранчовых (Insecta, Orthoptera, Gomphocerinae). ",2010,Л.С.,Шестаков
54,Веденина В.Ю.,"Стратегии поиска полового партнера у разных видов саранчовых (Insecta, Orthoptera, Gomphocerinae). ",2010,В.Ю.,Веденина
55,S. Vinogradova,Analysis of Codon Usage Bias on a Genome-wide Scale ,2010,S.,Vinogradova
56,D. Vinogradov,Analysis of Codon Usage Bias on a Genome-wide Scale ,2010,D.,Vinogradov
57,A.A. Mironov,Analysis of Codon Usage Bias on a Genome-wide Scale ,2010,A.A.,Mironov
58,Светлана Петрова,"Cравнительно-геномный анализ структур РНК, регулирующих
трансляцию генов рибосомных белков у протеобактерий и фирмикут  ",2010,Светлана,Петрова
59,Алексей Витрещак,"Cравнительно-геномный анализ структур РНК, регулирующих
трансляцию генов рибосомных белков у протеобактерий и фирмикут  ",2010,Алексей,Витрещак
60,Михаил Гельфанд,"Cравнительно-геномный анализ структур РНК, регулирующих
трансляцию генов рибосомных белков у протеобактерий и фирмикут  ",2010,Михаил,Гельфанд
61,Д.С. Волк,Тонкие аттракторы в косых произведениях ,2010,Д.С.,Волк
62,В.А. Клепцын,Тонкие аттракторы в косых произведениях ,2010,В.А.,Клепцын
63,Волчков Д.В.,"Метод оценки эффекта от внедрения информационной системы
планирования контрольных мероприятий",2010,Д.В.,Волчков
