,Subject,Gender,Age
1,100206,M,26-30
2,100307,F,26-30
3,100408,M,31-35
4,100610,M,26-30
5,101006,F,31-35
6,101107,M,22-25
9,101410,M,26-30
11,101915,F,31-35
14,102311,F,26-30
15,102513,M,26-30
18,102816,F,26-30
20,103111,M,26-30
22,103414,F,22-25
23,103515,F,26-30
24,103818,F,31-35
27,104416,F,31-35
28,104820,F,36+
29,105014,F,26-30
30,105115,M,31-35
31,105216,M,26-30
32,105620,F,31-35
34,106016,F,31-35
36,106319,M,26-30
37,106521,F,26-30
39,107018,F,26-30
42,107321,F,22-25
43,107422,M,22-25
45,107725,F,31-35
47,108121,F,26-30
48,108222,M,31-35
49,108323,F,26-30
50,108525,M,22-25
51,108828,M,31-35
52,109123,M,31-35
54,109830,F,31-35
55,110007,F,31-35
56,110411,M,31-35
57,110613,M,26-30
58,111009,F,26-30
60,111312,F,31-35
61,111413,F,26-30
63,111716,F,31-35
64,112112,M,26-30
65,112314,F,26-30
66,112516,F,31-35
68,112920,M,31-35
69,113215,F,26-30
72,113619,F,31-35
74,113922,M,31-35
76,114217,F,26-30
77,114318,F,22-25
78,114419,M,31-35
79,114621,M,26-30
80,114823,F,31-35
82,115017,F,31-35
83,115219,M,31-35
84,115320,F,31-35
86,115825,M,22-25
88,116221,M,22-25
91,116524,M,26-30
92,116726,M,26-30
94,117122,F,26-30
95,117324,F,22-25
97,117930,F,31-35
98,118023,F,26-30
99,118124,F,31-35
100,118225,M,26-30
101,118528,F,26-30
102,118730,M,22-25
104,118932,M,26-30
106,119126,F,22-25
107,119732,F,31-35
108,119833,F,26-30
110,120111,F,26-30
111,120212,F,31-35
113,120515,F,26-30
114,120717,F,31-35
117,121416,M,26-30
118,121618,M,31-35
121,121921,M,31-35
122,122317,M,31-35
125,122620,M,26-30
126,122822,F,31-35
127,123117,M,26-30
128,123420,F,26-30
129,123521,M,22-25
131,123824,M,22-25
132,123925,F,26-30
133,124220,M,31-35
135,124422,F,31-35
136,124624,F,26-30
137,124826,F,31-35
140,125525,F,31-35
141,126325,F,26-30
143,126628,M,31-35
146,127327,M,22-25
147,127630,F,22-25
150,127933,M,31-35
151,128026,F,26-30
152,128127,F,26-30
154,128632,F,31-35
155,128935,M,31-35
156,129028,M,26-30
157,129129,F,31-35
158,129331,F,26-30
161,129634,M,22-25
162,129937,F,26-30
163,130013,M,26-30
165,130316,F,26-30
166,130417,M,26-30
168,130619,F,26-30
170,130821,F,22-25
171,130922,F,31-35
172,131217,F,26-30
173,131419,F,26-30
175,131722,F,26-30
176,131823,M,26-30
177,131924,M,22-25
178,132017,F,22-25
181,133019,F,26-30
183,133625,M,26-30
185,133827,M,22-25
186,133928,M,26-30
187,134021,F,31-35
188,134223,F,26-30
190,134425,F,26-30
192,134728,M,26-30
193,134829,F,31-35
195,135225,F,22-25
197,135528,F,26-30
199,135730,M,22-25
200,135932,F,26-30
202,136227,M,31-35
206,136732,F,31-35
207,136833,M,31-35
210,137229,M,22-25
213,137633,F,22-25
216,138231,F,31-35
218,138534,M,22-25
219,138837,M,22-25
220,139233,F,31-35
222,139637,F,31-35
223,139839,M,26-30
224,140117,F,26-30
225,140319,F,36+
226,140420,F,26-30
228,140824,M,31-35
229,140925,F,22-25
230,141119,M,26-30
231,141422,F,31-35
233,141826,F,26-30
237,143325,F,31-35
238,143426,F,26-30
241,144125,F,31-35
242,144226,F,31-35
244,144731,F,26-30
245,144832,F,22-25
247,145127,M,22-25
250,145834,F,26-30
252,146331,F,26-30
253,146432,M,31-35
254,146533,M,26-30
255,146634,F,26-30
258,146937,F,31-35
259,147030,M,26-30
261,147737,F,31-35
262,148032,F,31-35
263,148133,F,26-30
265,148335,F,31-35
266,148436,M,26-30
267,148840,F,22-25
268,148941,M,26-30
269,149236,F,22-25
270,149337,M,31-35
271,149539,M,22-25
272,149741,M,26-30
273,149842,F,31-35
274,150019,M,26-30
277,150625,M,26-30
278,150726,M,22-25
279,150928,M,22-25
281,151223,F,26-30
283,151425,F,26-30
284,151526,M,26-30
285,151627,F,26-30
286,151728,M,31-35
287,151829,F,31-35
291,152831,M,26-30
293,153025,F,22-25
295,153227,F,31-35
296,153429,M,31-35
297,153631,F,22-25
301,154229,F,22-25
303,154431,F,26-30
304,154532,M,26-30
305,154734,M,31-35
306,154835,F,31-35
307,154936,M,26-30
308,155231,F,31-35
309,155635,F,26-30
310,155938,M,26-30
311,156031,F,26-30
312,156233,F,22-25
314,156435,M,22-25
315,156536,M,22-25
316,156637,M,31-35
318,157336,F,31-35
319,157437,F,26-30
320,157942,F,36+
322,158136,M,31-35
323,158338,M,22-25
324,158540,M,31-35
325,158843,M,26-30
326,159138,M,31-35
327,159239,F,31-35
329,159441,F,26-30
330,159744,M,31-35
332,159946,M,26-30
333,160123,M,31-35
334,160729,F,22-25
335,160830,F,26-30
336,160931,F,31-35
337,161327,F,26-30
338,161630,F,26-30
339,161731,F,31-35
341,162026,F,31-35
342,162228,M,22-25
343,162329,F,26-30
344,162733,F,26-30
346,162935,M,22-25
347,163129,M,26-30
348,163331,M,31-35
350,163836,F,31-35
351,164030,M,31-35
352,164131,M,26-30
353,164636,M,22-25
354,164939,F,26-30
355,165032,M,22-25
358,165638,M,26-30
359,165840,M,31-35
361,166438,M,31-35
362,166640,M,22-25
363,167036,F,26-30
364,167238,F,31-35
369,168240,M,26-30
370,168341,M,31-35
371,168745,F,22-25
375,169343,F,31-35
376,169444,F,26-30
378,169747,F,26-30
379,169949,M,26-30
380,170631,F,31-35
